PlayerName,TrackerID,KillDeathRatio,WinRatio,TimeSurvived,RoundsPlayed,Wins,WinTop10Ratio,Top10s,Top10Ratio,Losses,Rating,BestRating,DamagePg,HeadshotKillsPg,HealsPg,KillsPg,MoveDistancePg,RoadKillsPg,TeamKillsPg,TimeSurvivedPg,Top10sPg,Kills,Assists,Suicides,TeamKills,HeadshotKills,HeadshotKillRatio,VehicleDestroys,RoadKills,DailyKills,WeeklyKills,RoundMostKills,MaxKillStreaks,Days,LongestTimeSurvived,MostSurvivalTime,AvgSurvivalTime,WinPoints,WalkDistance,RideDistance,MoveDistance,AvgWalkDistance,AvgRideDistance,LongestKill,Heals,Boosts,DamageDealt
DREWTD,84333,2.11,5,21621.2,20,1,0.2,5,25,19,1620.5,1675.52,200.62,0.6,1.8,2,2378.27,0,0,1081.06,0.25,40,1,0,0,12,0.3,0,0,0,0,7,2,9,1879.14,1879.14,1081.06,1327,40499.54,7065.84,47565.38,2024.98,353.29,371.88,36,39,4012.41
Sakai,95093,2.94,0,21604.69,18,0,0,6,33.3,18,1734.37,1666.81,355.01,0.61,3.11,2.94,3116.82,0,0,1200.26,0.33,53,2,0,0,11,0.21,0,0,19,20,9,1,9,1987.02,1987.02,1200.26,1415,39076.9,17025.81,56102.71,2170.94,945.88,373.71,56,32,6390.1
APOKAL,49447,0.77,0,82119.81,119,0,0,9,7.6,119,1541.35,1669.46,98.84,0.1,0.96,0.77,1738.35,0.03,0.01,690.08,0.08,92,9,1,1,12,0.13,1,3,0,7,5,2,32,1949.51,1949.51,690.08,1269,114144.5,92718.79,206863.3,959.2,779.15,429.35,114,116,11762.39
FeeBoy,82415,1.23,5.06,66284.42,79,4,0.4,10,12.7,75,2124.97,2058.23,151.53,0.19,1.8,1.16,2365.64,0,0.01,839.04,0.13,92,4,1,1,15,0.16,1,0,1,1,9,2,20,1944.63,1944.63,839.04,1768,99764.44,87121.32,186885.8,1262.84,1102.8,236.44,142,75,11971.25
FairyTale,190461,1.31,7.14,15595.03,14,1,0.17,4,28.6,13,1388.12,1399.01,136.08,0.29,2.14,1.21,2629.2,0,0,1113.93,0.29,17,1,0,0,4,0.24,0,0,6,6,3,1,9,1892.12,1892.12,1340.79,3275,25447.91,11360.96,36808.87,2513.83,849,193.15,30,17,1905.09
WhitewisdomS,150117,2,8.33,13529.91,12,1,0.17,4,33.3,11,1513.78,1499.09,186.38,0.25,2.83,1.83,3497.27,0,0,1127.49,0.33,22,0,0,0,3,0.14,0,0,3,3,6,1,8,1973.52,1973.52,1039.14,2311,25529.02,16438.26,41967.28,1911.64,1048.55,203.07,34,29,2236.61
Huskerdude92,85052,1.08,0,72356.3,76,0,0,9,11.8,76,1806.03,1872.16,137.11,0.28,1.34,1.08,2203.94,0,0,952.06,0.12,82,6,0,0,21,0.26,1,0,8,14,5,2,19,1966.45,1966.45,903.14,2531,109593.9,57905.25,167499.12,1258.4,887.66,305.16,102,81,10420.45
FullMetal372,14607,0.88,1.52,53346.38,66,1,0.17,6,9.1,65,1557.05,1536.26,112.46,0.17,1.08,0.86,2022.85,0,0.02,808.28,0.09,57,7,1,1,11,0.19,2,0,1,13,5,1,16,1951.67,1951.67,808.28,1299,80879.63,52628.43,133508.1,1225.45,797.4,164.14,71,41,7422.26
EWREX,76955,1.64,15.38,16240.23,13,2,0.5,4,30.8,11,1649.5,1641.36,166.11,0.08,1,1.38,3177.44,0,0,1249.25,0.31,18,1,0,0,1,0.06,0,0,1,1,5,1,7,1983.31,1983.31,1249.25,1393,32961.11,8345.62,41306.73,2535.47,641.97,189.75,13,10,2159.47
Fear_My_Whip,181442,4,100,1899.2,1,1,1,1,100,0,1335.34,1200,357.14,0,0,4,6490.21,0,0,1899.2,1,4,0,0,0,0,0,0,0,4,4,4,1,1,1899.2,1899.2,1899.2,1125,1881.56,4608.65,6490.21,1881.56,4608.65,141.51,0,4,357.14
CrackerJack420,189270,1.14,3.92,48522.67,51,2,0.25,8,15.7,49,1777.09,1767.88,136.31,0.33,1.57,1.1,3610.75,0.02,0,951.42,0.16,56,3,0,0,17,0.3,0,1,14,21,6,4,13,2060.07,2060.07,951.42,1472,87891.54,96256.72,184148.3,1723.36,1887.39,315.58,80,45,6951.93
PackeT420,38616,0.7,0.73,107225.1,137,1,0.14,7,5.1,136,1647.02,1657.97,87.89,0.18,1.09,0.69,2814.19,0.03,0.02,782.66,0.05,95,6,3,3,24,0.25,1,4,2,2,6,2,23,1897.97,1897.97,782.66,1362,181116.3,204427.8,385544.1,1322.02,1492.17,205.8,149,117,12040.26
SuperMonkey,49024,6,100,1882.26,1,1,1,1,100,0,1336.3,1200,532.92,2,2,6,5679.39,0,0,1882.26,1,6,1,0,0,2,0.33,0,0,6,6,6,2,1,1882.26,1882.26,1882.26,1122,2936.46,2742.92,5679.39,2936.46,2742.92,109.44,2,4,532.92
Fitz7,215453,2.08,7.69,13975.09,13,1,0.12,4,30.8,12,1500.79,1537.61,220.38,0.46,0.46,1.92,4242.34,0,0,1075.01,0.31,25,1,0,0,6,0.24,0,0,5,10,5,1,7,1887.46,1887.46,1326.17,2278,24067.48,31082.96,55150.44,2537.66,3637.79,157.99,6,14,2865
guensitox,74811,4.75,33.33,6714.04,6,2,1,2,33.3,4,1368.46,1385.48,292.04,0.83,0.5,3.17,3598.58,0,0,1119.01,0.33,19,1,0,0,5,0.26,0,0,9,10,9,2,4,1887.98,1887.98,1389.3,2256,9666.13,11925.32,21591.45,1832.24,3925.86,259.02,3,17,1752.25
